     25543:	symbol=stderr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=free;  lookup in file=cat [0]
     25543:	symbol=free;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=abort;  lookup in file=cat [0]
     25543:	symbol=abort;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__errno_location;  lookup in file=cat [0]
     25543:	symbol=__errno_location;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=strncmp;  lookup in file=cat [0]
     25543:	symbol=strncmp;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_exit;  lookup in file=cat [0]
     25543:	symbol=_exit;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__fpending;  lookup in file=cat [0]
     25543:	symbol=__fpending;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=clearerr_unlocked;  lookup in file=cat [0]
     25543:	symbol=clearerr_unlocked;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=write;  lookup in file=cat [0]
     25543:	symbol=write;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__fpurge;  lookup in file=cat [0]
     25543:	symbol=__fpurge;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=textdomain;  lookup in file=cat [0]
     25543:	symbol=textdomain;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=fclose;  lookup in file=cat [0]
     25543:	symbol=fclose;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=bindtextdomain;  lookup in file=cat [0]
     25543:	symbol=bindtextdomain;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=stpcpy;  lookup in file=cat [0]
     25543:	symbol=stpcpy;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=dcgettext;  lookup in file=cat [0]
     25543:	symbol=dcgettext;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__ctype_get_mb_cur_max;  lookup in file=cat [0]
     25543:	symbol=__ctype_get_mb_cur_max;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=strlen;  lookup in file=cat [0]
     25543:	symbol=strlen;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__stack_chk_fail;  lookup in file=cat [0]
     25543:	symbol=__stack_chk_fail;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=getopt_long;  lookup in file=cat [0]
     25543:	symbol=getopt_long;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=strrchr;  lookup in file=cat [0]
     25543:	symbol=strrchr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=uname;  lookup in file=cat [0]
     25543:	symbol=uname;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=lseek;  lookup in file=cat [0]
     25543:	symbol=lseek;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=ioctl;  lookup in file=cat [0]
     25543:	symbol=ioctl;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=copy_file_range;  lookup in file=cat [0]
     25543:	symbol=copy_file_range;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=close;  lookup in file=cat [0]
     25543:	symbol=close;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=mbrtoc32;  lookup in file=cat [0]
     25543:	symbol=mbrtoc32;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=posix_fadvise;  lookup in file=cat [0]
     25543:	symbol=posix_fadvise;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=read;  lookup in file=cat [0]
     25543:	symbol=read;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=memcmp;  lookup in file=cat [0]
     25543:	symbol=memcmp;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=fputs_unlocked;  lookup in file=cat [0]
     25543:	symbol=fputs_unlocked;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=strcmp;  lookup in file=cat [0]
     25543:	symbol=strcmp;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=fputc_unlocked;  lookup in file=cat [0]
     25543:	symbol=fputc_unlocked;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__memmove_chk;  lookup in file=cat [0]
     25543:	symbol=__memmove_chk;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=fileno;  lookup in file=cat [0]
     25543:	symbol=fileno;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=malloc;  lookup in file=cat [0]
     25543:	symbol=malloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=fflush;  lookup in file=cat [0]
     25543:	symbol=fflush;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=nl_langinfo;  lookup in file=cat [0]
     25543:	symbol=nl_langinfo;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__freading;  lookup in file=cat [0]
     25543:	symbol=__freading;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=realloc;  lookup in file=cat [0]
     25543:	symbol=realloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=setlocale;  lookup in file=cat [0]
     25543:	symbol=setlocale;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__printf_chk;  lookup in file=cat [0]
     25543:	symbol=__printf_chk;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=error;  lookup in file=cat [0]
     25543:	symbol=error;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=open;  lookup in file=cat [0]
     25543:	symbol=open;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=fseeko;  lookup in file=cat [0]
     25543:	symbol=fseeko;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__cxa_atexit;  lookup in file=cat [0]
     25543:	symbol=__cxa_atexit;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=getpagesize;  lookup in file=cat [0]
     25543:	symbol=getpagesize;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__memset_chk;  lookup in file=cat [0]
     25543:	symbol=__memset_chk;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=exit;  lookup in file=cat [0]
     25543:	symbol=exit;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=fwrite;  lookup in file=cat [0]
     25543:	symbol=fwrite;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__fprintf_chk;  lookup in file=cat [0]
     25543:	symbol=__fprintf_chk;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=aligned_alloc;  lookup in file=cat [0]
     25543:	symbol=aligned_alloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=fflush_unlocked;  lookup in file=cat [0]
     25543:	symbol=fflush_unlocked;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=mbsinit;  lookup in file=cat [0]
     25543:	symbol=mbsinit;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=iswprint;  lookup in file=cat [0]
     25543:	symbol=iswprint;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=fstat;  lookup in file=cat [0]
     25543:	symbol=fstat;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__ctype_b_loc;  lookup in file=cat [0]
     25543:	symbol=__ctype_b_loc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=calloc;  lookup in file=cat [0]
     25543:	symbol=calloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=free;  lookup in file=cat [0]
     25543:	symbol=free;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=malloc;  lookup in file=cat [0]
     25543:	symbol=malloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=realloc;  lookup in file=cat [0]
